Object ID,Is Public Domain,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Metadata Date,Department,Title,Culture,Artist Role,Artist Display Name,Artist Nationality,Medium,Dimensions,Classification,Tags
33,False,1861,1930,1876,1876,2019-07-31,The American Wing,Bust of Abraham Lincoln,American,Maker,James Gillinder and Sons,American,Pressed glass,2 3/4 x 3 1/2 x 2 3/4 in. (7 x 8.9 x 7 cm),Glass,Men|Abraham Lincoln|Portraits
37,True,1765,1795,1782,1785,2019-02-01,The American Wing,Figure of Admiral George Rodney,British (American market),Maker,Pierre Stephan,French,"Earthenware, basalt",H. 12 in. (30.5 cm),Ceramics,Cannons|Swords|Men
38,True,1765,1795,1782,1785,2019-02-01,The American Wing,Figure of Admiral Samuel Hood,British (American market),Maker,Pierre Stephan,French,"Earthenware, basalt",H. 12 3/8 in. (31.4 cm),Ceramics,Cannons|Swords|Men|Admirals
133,False,1848,1933,1902,1908,2019-07-31,The American Wing,"Architectural Elements from Laurelton Hall, Oyster Bay, New York",American,Designer,Louis Comfort Tiffany,American,"Limestone, ceramic, and Fravrile glass",21 x 23 ft. (640.1 x 701 cm),Architecture,Architecture
150,False,1856,1925,1889,1889,2019-02-01,The American Wing,Heads and Feet of Two Javanese Dancers (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Feet|Heads|Dancers
194,False,1856,1925,1875,1878,2019-02-01,The American Wing,"Hunting Birds, after Egyptian Relief Sculpture (from Scrapbook)",American,Artist,John Singer Sargent,American,Graphite and pen and ink on off-white wove paper,5 1/4 x 4 3/4 in. (13.3 x 12.1 cm),Drawings,Birds|Men|Women|Hieroglyphs|Hunting
248,True,1829,1835,1859,1859,2019-07-26,The American Wing,Side Chair,American,Maker,Joseph Meeks & Sons,American,Rosewood,48 x 27 1/2 x 31 in. (121.9 x 69.9 x 78.7 cm),Furniture,Grapes
249,True,1829,1835,1859,1859,2019-07-26,The American Wing,Side Chair,American,Maker,Joseph Meeks & Sons,American,Rosewood,48 x 27 1/2 x 31 in. (121.9 x 69.9 x 78.7 cm),Furniture,Grapes
512,True,1818,1887,1847,1847,2019-10-10,The American Wing,Bible,British,Maker|Printer,George Edward Eyre|William Spottiswoode,British,Paper with composition covers,6 x 3 1/2 x 2 in. (15.2 x 8.9 x 5.1 cm),Natural Substances,Christ
644,True,1849,1849,1846,1858,2019-07-31,The American Wing,Bottle,American,Manufacturer|Designer,"Lyman, Fenton & Co.|Daniel Greatbatch",British,Mottled brown earthenware,H. 10 3/4 in. (27.3 cm),Ceramics,Men
645,True,1838,1838,1846,1858,2019-07-31,The American Wing,Bottle,American,Designer|Manufacturer,"Daniel Greatbatch|Lyman, Fenton & Co.",British,Mottled brown earthenware,H. 10 3/4 in. (27.3 cm),Ceramics,Men
646,True,1838,1838,1849,1858,2019-07-31,The American Wing,Bottle,American,Designer|Manufacturer,"Daniel Greatbatch|Lyman, Fenton & Co.",British,Mottled brown earthenware,H. 10 3/4 in. (27.3 cm),Ceramics,Men
802,True,1674,1760,1700,1710,2019-07-26,The American Wing,Two-handled Bowl,American,Maker,Cornelius Kierstede,American,Silver,"Overall: 5 3/8 x 13 13/16 in. (13.7 x 35.1 cm); 25 oz. 19 dwt. (806.9 g)
Lip: Diam. 9 11/16 in. (24.6 cm)
Foot: Diam. 4 13/16 in. (12.2 cm)",Silver,Tulips
817,False,1865,1865,1890,1890,2019-10-25,The American Wing,Bowl,American,Decorator|Manufacturer,Kataro Shirayamadani|Rookwood Pottery Company,American,Earthenware,H. 5 9/16 in. (14.1 cm); Diam. 11 in. (27.9 cm),Ceramics,Flowers
829,False,1892,1902,1898,1902,2019-07-26,The American Wing,Bowl,American,Maker|Designer,Tiffany Glass and Decorating Company|Louis Comfort Tiffany,American,Enamel on copper,6 1/8 x 9 1/2 x 9 1/2 in. (15.6 x 24.1 x 24.1 cm),Metal,Fruit
894,False,1848,1933,1898,1902,2019-07-26,The American Wing,Bowl,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,American,Enamel on copper,1 5/8 x 2 3/8 x 2 3/8 in. (4.1 x 6 x 6 cm),Metal,Flowers
947,False,1848,1933,1902,1910,2019-10-10,The American Wing,Box,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,"Wood, glass scarabs, favrile glass, bronze",4 1/2 x 4 in. (11.4 x 10.2 cm),Natural Substances,Insects
955,True,1828,1891,1869,1869,2019-02-01,The American Wing,"Outline Sketch of Mountains (verso, from Sketchbook)",American,Artist,Jervis McEntee,American,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,Mountains
1029,True,1833,1902,1876,1876,2019-07-26,The American Wing,The Bryant Vase,American,Designer|Manufacturer|Decorator|Designer,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,American,Silver and gold,33 1/2 x 14 x 11 5/16 in. (85.1 x 35.6 x 28.7 cm); Diam. 11 5/16 in. (28.7cm); 452 oz. 16 dwt. (14084.2 g),Silver,Musical Instruments|Birds|Men|Women|Flowers
1080,True,1824,1887,1857,1860,2019-07-31,The American Wing,Cabinet,American,Maker,Léon Marcotte,French,"Oak, poplar, pearwood or applewood veneer",44 1/4 x 32 x 19 1/4 in. (112.4 x 81.3 x 48.9 cm),Furniture,Satyrs|Infants|Women
1081,True,1824,1887,1857,1860,2019-07-31,The American Wing,Cabinet,American,Maker,Léon Marcotte,French,"Oak, poplar, pearwood or applewood veneer",44 1/4 x 32 x 19 1/4 in. (112.4 x 81.3 x 48.9 cm),Furniture,Satyrs|Children|Women
1084,True,1813,1886,1863,1866,2019-04-18,The American Wing,Cabinet,American,Maker,Alexander Roux,French,"Rosewood, tulipwood, cherry, poplar, pine",53 3/8 x 73 3/8 x 18 3/8 in. (135.6 x 186.4 x 46.7 cm),Furniture,Men|Women
1103,False,1848,1933,1907,1913,2019-02-01,The American Wing,Calendar,American,Designer|Maker,Louis Comfort Tiffany|Tiffany Studios,American,Bronze,Dimensions unavailable,Metal,Zodiac|Calendars
1112,False,1717,1786,1777,1777,2020-02-15,The American Wing,Cameo Medallion,British,Artist|Manufacturer,Jean-Baptiste Nini|Josiah Wedgwood and Sons,Italian,Earthenware,4 x 3 1/16 in. (10.2 x 7.8 cm),Ceramics,Benjamin Franklin|Men|Profiles
1223,True,1674,1760,1702,1708,2019-10-10,The American Wing,Candlestick,American,Maker,Cornelius Kierstede,American,Silver,"Overall: 11 7/16 x 6 1/2 x 6 1/2 in. (29.1 x 16.5 x 16.5 cm); 25 6 oz. (808.3 g)
Without bobeche: H. 10 15/16 in. (27.8 cm); 22 oz. 17 dwt. (710.9 g)
Bobeche: 2 1/4 x 2 13/16 x 2 13/16 in. (5.7 x 7.1 x 7.1 cm); 3 oz. 3 dwt. (97.4 g)",Silver,Birds|Human Figures
1226,True,1848,1907,1879,1880,2019-02-01,The American Wing,Rodman de Kay Gilder,American,Artist,Augustus Saint-Gaudens,American,Bronze,13 1/2 x 16 7/8 in. (34.3 x 42.9 cm),Sculpture,Girls|Profiles
1229,False,1874,1954,1922,1922,2019-02-01,The American Wing,Mr. and Mrs. Robert W. de Forest,American,Artist,Evelyn Beatrice Longman,American,Bronze and gold leaf,Diam. 2 1/16 in. (5.2 cm),Sculpture,Men|Profiles|Women
1408,True,1669,1753,1718,1718,2019-02-01,The American Wing,Capias,American,Maker,Edward Winslow,American,Paper,12 1/2 x 7 7/8 in. (31.8 x 20 cm),Natural Substances,Documents
1409,False,1867,1959,1894,1897,2020-01-07,The American Wing,Capital,American,Maker,Frank Lloyd Wright,American,Painted plaster,3 1/2 x 8 x 11 in. (8.9 x 20.3 x 27.9 cm),Architecture,Capitals
1410,False,1867,1959,1894,1897,2020-01-07,The American Wing,Capital,American,Maker,Frank Lloyd Wright,American,Painted plaster,12 x 14 1/2 x 18 in. (30.5 x 36.8 x 45.7 cm),Architecture,Capitals
1524,True,1820,1890,1877,1877,2019-07-26,The American Wing,Century Vase,American,Maker|Maker,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,12 3/4 x 10 1/4 in. (32.4 x 26 cm),Ceramics,Animals|George Washington
1531,True,1820,1890,1873,1876,2019-07-26,The American Wing,Century Vase,American,Designer|Manufacturer,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,H. 12 3/4 in. (32.4 cm),Ceramics,Animals|George Washington|Men
1532,True,1820,1890,1873,1876,2019-07-26,The American Wing,Century Vase,American,Designer|Manufacturer,Karl L. H. Müller|Union Porcelain Works,American,Porcelain,H. 12 3/4 in. (32.4 cm),Ceramics,Animals|George Washington|Men
1559,False,1856,1925,1889,1889,2019-02-01,The American Wing,Heads and Faces of Javanese Dancers (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Faces|Heads|Dancers
1617,False,1856,1925,1889,1889,2019-02-01,The American Wing,Arm of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Dancers|Arms
1755,False,1856,1925,1889,1889,2019-02-01,The American Wing,Hands of a Javanese Dancer (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Hands
1756,False,1856,1925,1889,1889,2019-02-01,The American Wing,Architectural Ornament (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,5 1/2 x 8 1/2 in. (14 x 21.6 cm),Drawings,Ornament
1776,True,1824,1887,1860,1870,2019-07-26,The American Wing,Side Chair,American,Maker,Léon Marcotte,French,"Maple, brass, mother-of-pearl",35 3/4 x 21 x 17 1/2 in. (90.8 x 53.3 x 44.5 cm),Furniture,Birds
1787,False,1856,1925,1889,1889,2019-07-31,The American Wing,Seated Javanese Dancer Fixing Her Hair (from Sketchbook of Javanese Dancers),American,Artist,John Singer Sargent,American,Graphite on off-white wove paper,8 1/2 x 5 1/2 in. (21.6 x 14 cm),Drawings,Women|Dancers
